transaction_date,transaction_id,transaction_amount
2022-09-17,WeKuSlJdWG0OfbkteXN5,1000
2022-09-16,bypPVdMn7iydzNwsYBZl,2000
2022-09-15,k7ZEkPT3nV078GbXdjX9,2000
2022-09-22,KSKjgWG5f3vFj7mCh6Sf,1500
2022-09-16,6NkQBzah4sUEWaO31gQv,1000
2022-09-15,pzgvFUFcLFMiTXpWI70b,2000
2022-09-26,MoHQX5IyC3DGmS1UIewQ,1500
2022-09-19,LK4sKorc05JtmAwQrBhg,1500
2022-09-20,uUQkKZt3GJoTy7thszIX,1500
2022-09-20,BoRL9I3yyEvTrvJdppxw,1500
2022-09-06,HXYbcGhQI8uQwafwC1sO,1000
2022-09-16,SBOQBb28iVosBGrJBAHx,2000
2022-09-15,OAEkwGPRztGR1LX1QlCB,1500
2022-09-15,rJ5e5FJxksd5TRpTZHE5,1500
2022-09-17,inW0PJI2J7svclG0dQrb,2000
2022-09-16,46ECRZsv0RPl61xXfY9V,2000
2022-09-16,xGibyytPhUvyrHjmNIVd,1000
2022-09-16,sfSaT8bgCKayPRQHJU9l,2000
2022-09-16,Raa0bBGtFilXz9pe8934,2000
2022-09-16,in8k1HTbw6Yqn3hWBVbf,1500
2022-09-19,sNLeNBrVossYXbN5F2j4,1000
2022-09-20,HUasMDDQvG1rsP9nkl8P,1000
2022-09-17,Gr5kpDXImgisLbhmNjp9,2000
2022-09-17,gAFAlJMxUrrcOTfkdddV,2000
2022-09-16,OCIDNwPij3w2KV9p1EdZ,1500
2022-09-15,IQShoI9MQAVUclgrklqc,2000
2022-09-17,GIVZQh2g3M8PeLPAURcG,1500
2022-09-13,Y4PbCSkew19yMnRF8klI,2000
2022-09-17,eKUVm1ztzyjX5KlS7cbA,3000
2022-09-15,8X6QGp9F5KNZmHeDvaeX,2000
2022-09-15,Kcpbbajfp2cCkspQnACW,1000
2022-09-17,yqbS6xdnRUkcvmtoWRzQ,1500
2022-09-18,5Asfgl5lPNrKFb0F7b8r,1500
2022-09-03,5cQVhegf4GEMHmNt6MNY,1000
2022-09-17,9GLgBgzYZjw5YEZmUnl4,1500
2022-09-15,VAaOiiVhH4v8dqrOvQx5,3000
2022-09-17,sXTW0hNGgZq3ZkztwhfP,1500
2022-09-16,XMZRT2ZlNBY9OPHUiqou,2000
2022-09-07,u7ptItV9J0lMYtq9xUrZ,1000
2022-09-13,wc3rbIghMND1aLTK7AmJ,2000
2022-09-16,znsMYWSAEeiPV92LlSjy,1000
2022-09-16,ZhFn4YGmv3oXoAXOpgJj,2000
2022-09-17,oyocBBhnANhRIEYY9mYC,1500
2022-09-13,6V7y60rm5HQ1jrwRF22s,3500
2022-09-06,rb5fwehqGZFwlJo2meRw,2000
2022-09-19,HRGPbOpTXfcX86lDpAHd,1500
2022-09-14,vMFVIQgLwr29XeiI2Fro,2000
2022-09-18,uC9ufPRjauuMbaY6xyz6,2000
2022-09-15,yu8xCJHQFqOnYAx7Q1VW,1000
2022-09-22,bOxgqaVozIDCZmvuDT2K,1500
2022-09-16,UAcRww2ytCRolhWTNja1,2000
2022-09-13,xl9LKB43wTSrLHi5a0cb,2000
2022-09-23,b3DxIGuWlYbf7l5oKCwT,1500
2022-09-16,tXCPvOzD70JmcDscvykX,2000
2022-09-16,i3GRqI82C3epRUieI5EV,1100
2022-09-17,isAi690RLeHMfkrVtXpb,3000
2022-09-17,sYv1AkSMY2vQSJIQsk3S,1000
2022-09-16,AwRiROBT5A4gjLblCDsa,2000
2022-09-10,rOXxeBIt97dRgZEl3RAR,1000
2022-09-09,HCZ9hy6kEfqNFkaeSLNO,1000
2022-09-17,1hyM0ccopSLBDOy8td6i,1500
2022-09-29,g4u7434ahwdn7ad2odIq,1500
2022-09-20,Kpro4aWSva2CTZNWKgIf,1000
2022-09-19,aIqhGf8084fsbgnRgDyK,1500
2022-09-16,Tl5vbj24Y7y2ngFGqJRD,1500
2022-09-17,tG2n3Z4huCZCNmt84XNW,1000
2022-09-26,5iDjkzp3gC9eJ7JNIvmb,2000
2022-09-16,KwIx4IAuQ4imWpDdD2I9,1500
2022-09-16,NTaSqEZTrsZSjpMdK5bE,1500
2022-09-17,zs3ol1vDG49mRg7BaR3H,1500
2022-09-13,g6XGq47L8rGvUrvbkRGA,2000
2022-09-17,gEfkjJOb8E31SqY5SjpI,1000
2022-09-09,3EJe7bw72LyR6PYpO19H,1100
2022-09-17,0fpcnSEcQrMoZil2cEfs,850
2022-09-16,9P5I6DPc6UZ18gaYUNWy,2000
2022-09-13,opIvBNu6cGMkN4Dh9TRF,3500
2022-09-27,sErjShOTUmaHNEUadxdN,1500
2022-09-16,6gb1Kl8VyllRNdO48tXL,800
2022-09-17,kN5b0LnR1qmFtQoAkUzz,1500
2022-09-16,R4cNmFWO39HwIoJWbzxv,1500
2022-09-27,iqOqr1NUnqQwurbr0BHx,1500
2022-10-28,nl4rXKEeQo8UbiaiECLl,1500
2022-10-11,0heQHv2vB21w2TKfens7,2000
2022-10-12,vocUHZaTr1wd7N1BIGIy,2000
2022-10-12,eyFIxhzqT61f2N5xO3Wd,2000
2022-10-20,PhtGR2JYSUbyyWSIWFfU,1500
2022-10-09,dC7GvOTk206njXB3Ixlh,1500
2022-10-18,hCSZ84plguXW6Aydrtzw,800
2022-10-20,TXOnaaXetZIuwLkEC0pL,800
2022-10-16,NiYDRZY5tN2NL1Jz13yp,1500
2022-10-25,7gOkK9azHbgWS1YBAlRL,1000
2022-10-18,WO6zgaAWGr2dkBHn0o1i,2500
2022-10-12,1Fx8S5Q443PTDU8Xe20z,3000
2022-10-21,XU7BP9L8CiRmxQyNwm6N,2500
2022-10-14,XXdgsieoG07VZ3Blii8s,850
2022-10-18,Dg3FIvmecF5h1bS357Z0,1500
2022-10-26,R0gxnRyf47ioIXkLhBob,1500
2022-10-22,QYSLE0gHzGtnwHslnPoc,1500
2022-10-19,lDjfebWumFs4M3v1pciA,1500
2022-10-20,K1uytbYPGymh83N1TrZD,1500
2022-10-16,kQYPU9UkipiY6Yjvres5,1500
2022-10-20,c9sdUXVsXNaNbBFclJin,800
2022-10-17,IMlZNP0XcDJpT9baBoWM,4000
2022-10-20,kJgs26apdG9ssNo8hcy3,2000
2022-10-25,C8DS4fThPjw0Gs9EKJZl,2000
2022-10-18,Wg0uaAQQwjB2GZjssPUr,2300
2022-10-26,EmK2crbSNKWIoYi6jEO5,800
2022-10-13,nFSyHyHs5hDfUrBXVxIF,500
2022-10-11,PFVQ4NNl7ePnbdral1io,600
2022-10-19,gYq7sI9c4LhkIStjMPzl,2000
2022-10-28,QnvtLVIlcMQzakpBGERQ,800
2022-10-18,KoOJOuOgvg61tzPOT2OB,1500
2022-10-17,YRTyay2OX0AsXYVEiqKM,1500
2022-10-12,yKqyav5diC3lSbtqB8b0,2000
2022-10-09,wbQ1ESBHjpoJggfQACDd,1000
2022-10-18,HoEFG4NV9xnY8YgJg4Rs,1500
2022-10-18,9sw1IsrmKVp9wcl3Trbe,1000
2022-10-22,501XDravzV8NOa6zCadm,1500
2022-10-26,ARyAc24nNwxpA78SnBs8,1500
2022-10-19,BsgtS64nktxEMwIJySv5,2000
2022-10-12,uu2z8fiXnAVJyXgRfvvj,2000
2022-10-13,XfPN52udzwwgRcPc71WT,1500
2022-10-17,pymBWW85MBUHTSLcQyvK,2000
2022-10-26,Jldk6qgJcjDK1Gge2LH2,2000
2022-10-12,GiKdK5hT4CVaYczRvaeP,3500
2022-10-13,kjNziIYcbYV57zDKfpzR,4000
2022-10-12,Zdqa4UZaPVwvY7J46wYt,1500
2022-10-12,il8rimEXKpTSoJB8wzaj,2000
2022-10-17,zPzTA4DlL26rYH7PlnXi,2000
2022-10-11,KR918JMMbaDjQurj294t,1500
2022-10-17,pva9IKYRf9gIYCp0mBCU,4000
2022-10-14,5PeCMqlhYoRpX9jolUhz,2300
2022-10-25,n6wwMMXan2hRxqIRWyhj,1500
2022-10-19,8J5BFIQDjKlNYcvUT49T,1500
2022-10-19,5pLzXSC7qkvgieBgvHoE,1500
2022-10-18,dz5cTmuRclp4sOsQcxzZ,2300
2022-10-01,otQNaRcaeJVht1074PaQ,1000
2022-10-20,Y7Tdoj4V9nwdKospT7DP,2000
2022-10-18,AGrP28C61kmm59SX2rd8,2000
2022-10-09,04SlsKaODMqm7XFakkyf,2000
2022-10-12,i4XZjxgSm0gLZSNxmhEl,2000
2022-10-17,vc5cqPoX3XwTQRR5DGhl,1000
2022-10-14,ObyxjxLubBSs3qU5WqmG,2000
2022-10-14,BIyrTo136jsQgwjdHDno,2300
2022-10-18,iOWubgfKOQc0idwha2uv,1500
2022-10-19,pH37hSYkOA4R7u4VH5Dg,1500
2022-10-12,IGcAv9uzFmncT1cej5bn,2000
2022-10-12,zMNafNcR9EdHqSnODmwh,2300
2022-10-19,GZPNWXR6J8LLqRQAM1I8,850
2022-10-18,Yx7KU6t2oaGERaJArl0y,1500
2022-10-14,ALC0r1EukdBv9WUkBtUW,1500
2022-10-26,mYzFjUcLYDIJTzfDvwMB,1500
2022-10-19,f0bwi33KGtUBenEQ1x9H,1000
2022-10-17,kxHm02TDGJjmGs2UEeYK,1500
2022-10-13,ZMnfLINyR4UfW13esCtg,2300
2022-10-12,uRAuoGts2Q9gGrbaVjqi,4000
2022-10-18,xP7nOaPu2yrPoMCL4tfC,1500
2022-10-19,HZT7zDT7QMlJt6drm0k2,1500
2022-10-23,7ZYLIyecZWlejlC9Wy4Z,1100
2022-10-18,6qhBSJGokv88ZpV8dBcW,1500
2022-10-22,XfuoVYJhit7e46CxZe82,1500
2022-10-05,cxVJr4kButTecR8HmytO,1000
2022-10-17,Cx1ZPmOrhl5HNpfFtIbk,2000
2022-10-31,tw5iYVHaLLjrkIbXtxv0,1500
2022-10-17,XLesOzjNdFDAlz1gVuAa,2000
2022-10-26,KTv6L1C4PfnKmnCMzcXA,800
2022-10-16,DefEEH8UtBFZFDT7hR91,2300
2022-10-21,jLR3AU7qtpbsNAurYc5s,1000
2022-10-12,eRUcooSaBmxW1qy6eZOq,1500
2022-10-17,Rv6y6gvlcIkhvG7gVSp8,1500
2022-10-13,LtjAvG6Ty454eHy2SBn0,2000
2022-10-27,AftiHYPfYlSNfwOwrqlt,1500
2022-10-18,HSKxLjEbs0Jb10iDAR3E,800
2022-10-14,jeEFeXQ7KAcd5RIRgXQW,2300
2022-10-20,U6dfcJPtdy3MdyaSqcbl,1000
2022-12-16,8TQqeOm5bvUEMCVMPnGI,3300
2022-12-15,ATJsL19XXE25BdtU3eNv,1000
2022-12-17,xg8Jx4dODLAQ0FknqHyc,1500
2022-12-20,Dfsl13UN0DWoVZHL5UeW,2200
2022-12-15,ir6ipBAZGL4gdafx7olm,1400
2022-12-12,hEV1icz0KxRkFhRjgjuw,2100
2022-12-11,y3IxY8E8VZfrHd6bK2CN,1500
2022-12-15,XNWIqAVxsqDvpidD4Kle,1400
2022-12-20,ozu7BomyeqjzkUfyc3u2,1500
2022-12-16,XpP6Fm93RZx6uVqIgffh,1400
2022-12-19,i02EL1JxOXVD1hEaMKuz,1400
2022-12-12,iXp7Q2cFauMy4zDZxq1n,800
2022-12-13,kkaTzXeNlmP5O2LsTu99,2200
2022-12-11,uUdVXHTaXp2JxXHy7GOg,1400
2022-12-11,bbSQxsXsTkTGuvzi8w1L,2100
2022-12-16,9HpYWlXNrbw04o8l4BRW,1000
2022-12-12,85Wlvq93QJ5xaswqhRaj,2100
2022-12-14,5NCOKtRWybHoKmboSWnQ,800
2022-12-16,xifSgzmurAUCTYL7HpHI,1000
2022-12-21,dN2VhKK8Z5iqcA3vqeh8,2300
2022-12-11,1RCtVoSL6LjUdSAqakCV,1500
2022-12-14,go5XySaGLDdO9rEpgeSE,1500
2022-12-19,BnJDGu368v6nHJccprp7,1400
2022-12-17,Qmc4ufTBRrfKvOUG0L8S,1000
2022-12-15,LvjsabW08z87mYDOjCFQ,1500
2022-12-11,ujDf3zRidKgC44zhnXCw,1500
2022-12-12,k8ITa5mDcizjfO4CCqP9,800
2022-12-08,b5eb14rc0jFlbsWHMrkb,1400
2022-12-10,Ysym4UrD676BPwwbwA6L,4000
2022-12-19,zjcAa2JtqDf1toqYDGwV,2100
2022-12-14,YvnrGCv7u0nB0fUiuZVQ,800
2022-12-15,V54Z2UIkIYpw5UaWFl4K,600
2022-12-14,yXVNckz98AuecC8znRln,2100
2022-12-09,eMuV49tdmZYtofJaGmMC,1400
2022-12-12,5gzNYAC2liYxaMpXH7kw,2100
2022-12-13,C941CCH3yFghBI0094t9,2000
2022-12-12,TidMqUvBsIMETBSFr7VA,3300
2022-12-14,kaspQ05qub0oC3zSXU8Z,300
2022-12-13,jRhdL85ghM1lp2s1Pc6h,1500
2022-12-11,y0F0ZReOUFSRVvT7GWkm,600
2022-12-11,HpbmDYIvfczuqLJpChrz,3300
2022-12-15,rIxyni4YrmvUmqE6LaHc,4000
2022-12-12,vfqaZ2wMzGsGYkfU6wZI,300
2022-12-15,NHK7I8epd0ymaLjMZFVy,1400
2022-12-20,JeboXn356QyXUOXPTOGn,300
2022-12-21,xy19xkHeM2KCHRjbP6xE,3300
2022-12-12,VF6ksQErp25co6RQHEXG,1400
2022-12-14,XSSGfYUYQr4sHwtYkca3,4000
2022-12-15,dYuGzpvjgG8RgcP2Egmc,2200
2022-12-14,LBjOzEb5hvTegLAZgYVV,2200
2022-12-12,B2YEY9qiOxmRZ22opwiM,600
2022-12-12,qbgElaViZJNyBsSp1Oqn,3300
2022-12-07,UExeMlZ1vFqGxgY2Rrb1,1500
2022-12-17,14Lk6fRGNeQhPMdFMyCC,800
2022-12-16,VZlohOVn22WPLzcwWme4,3300
2022-12-12,f752IKELTiQgD3Y8lc9P,800
2022-12-15,DoviWsPWSjrW3J5jOULz,1500
2022-12-15,8HqVgEbcnOuELzpr4Fyy,2600
2022-12-16,cQzOBjICIsb7m3HncwXz,1500
2022-12-28,TyymNOtUaO6RFyucRXUH,1400
2022-12-14,QJTJYgAznewNIoYR2vpJ,1400
2022-12-08,4HAwyPlJqiJFf63oKLTW,1500
2022-12-17,FAMV99csWnv3gMLBnxpo,1000
2022-12-13,nh8LoPRhjxZeyAjDFwGJ,2100
2022-12-11,gtN5q1p1uLe6JoqXZC2o,1500
2022-12-20,jhuVHSQSyce3OY87aA3E,800
2022-12-13,QFjqkC38OqMpwlB7bUww,800
2022-12-15,5nNSWDJFulCaIKaaY0UZ,1500
2022-12-18,W2lWnjhFNxQfOu7owHJA,1000
2022-12-16,Di5GXhLkZZA0iT6m4BBa,2000
2022-12-13,JpW6nl0J6HB3nZorIDbs,2200
2022-12-21,8HeXMoEzvowH0qzWMnzt,3300
2022-12-14,KBvYrotYaaVNHSIU4Q5H,2200
2022-12-06,0UpYOJesZ1rk7G953OU1,1000
2022-12-01,kHnGryOUnIIr1LWaGFH1,800
2022-12-14,u1FpTjsluZa8mPjW1WGe,2100
2022-12-12,4LUcP1mSNmUwlPSjZPrj,1500
2022-12-16,eLIFzQec5jfZeeprLN17,2300
2022-12-21,fFd7tXDjWIc97e09vrCW,300
2022-12-08,NIB6SUmWirbmTXCB1ZsS,1500
2022-12-21,dcARIm6fyYbBDw10fCSx,1400
2022-12-19,WjWi00VEo0bD715XxQ9o,3300
2022-12-20,wi6gAyr6PsxuhduPLA4z,1150
2022-12-21,MD9kV6yzAII1KL6RH55S,2200
2022-12-12,mmKHV4jVC7FKMRggVusB,2100
2022-12-18,kzbfYCm3QaBKgnBlOJzi,2100
2022-12-18,mVDVSxs2Yslgmz0Jtnl1,3300
2022-12-17,su5bwj2AlVpiWW9ILH8x,2100
2022-12-12,LU3zPTXqoMPTDD6oKT6C,1500
2022-12-15,B8R8Zliyw8c0QnDG7NJ3,1500
2022-12-11,7H47whr017nq6NxvMTSe,4000
2022-12-15,2IqvdADOuFDr36chQyig,1000
2022-12-07,QoFSejitr8BJ8q4Zjb1x,1500
2022-12-15,4xI50CiO3KeLu2HBbT2D,1000
2022-12-18,L2sPVwOVtW9GPcGsoemX,1000
2022-12-02,79Only9QEHe7AkBSxzft,1400
2022-12-14,g3xJITXSzry53fJqC1Br,1500
2022-12-23,TI3DgSykHiqP8WT0xzrK,800
2022-12-27,Jpp0h9xGZoI1k50LLpQv,1000
2022-12-15,WsSpuPfr0C1erICLPkl9,1500
2022-12-16,cGC4QXhjE35TL0Z6Ctbs,1000
2022-12-12,vJh0CC57JlC83DTN25EO,1400
2022-12-13,1MYXFgxSQrMRL36orLmY,2100
2022-12-12,4iM6v4aJR5amuOjdpcHQ,2200
2022-12-22,1wkmqi8pvV8YRk5BQwpG,3300
2022-12-14,mXeNfrFmulEiPlPKioWX,3300
2022-12-19,8CQTC2uL3fGNkqEDp27h,1000
2022-12-11,6HkhPDfXpDycXJnTT8Bh,4000
2022-12-15,CWfeD03myArRSVav7szT,2100
2022-12-13,qYYUmRxLRGaITvoJfZcv,2200
2022-12-09,nt0vo7KDHioxoTJjUYeN,300
2022-12-15,oEpBKgGSmulrSe69USUK,800
2022-12-11,OONGoNK0YDkVe5MRVJlp,800
2022-12-15,Ktq7g09Cn3sT9q76c55I,1000
2022-12-13,dkyDenZMTrUzchLggUEr,1500
2022-12-17,dNt0zxCvKSPy3GKNGed5,1000
2022-12-15,IOC6iWtHRg2RMr1IyLmb,1000
2022-12-12,RNEwxPbNjT2F4Ge8IMTN,3300
2022-12-16,LEaDCoI9yNLfZeDDLsmp,2100
2022-12-11,J5n1CJtT9YOnl5seqahC,3300
2022-12-22,d8bVTzpKsLKEOA9u3eq8,1400
2022-12-16,OBRE67n6xWo2qdGmFbRX,1000
2022-12-11,2mWpkmkDKyaeTjQcLyA4,2100
2022-12-12,sgBmXtOVrPE9eG5i0QbW,2300
2022-12-15,9o8ptWDAkcDyCPVyNj63,2200
2022-12-15,jRWJok5y0gPruxV91xIy,1500
2022-12-15,ZCfZOIBOrMRdcOlqHSVE,2200
2022-12-12,CyFN8eJdn6zzWwCqrMPs,800
2022-12-12,5KD0AQetpzsAU6uKnHTo,3300
2022-12-17,slpfDy2aJbA7sW8UlK6u,1400
2022-12-16,33ij7mSGjCHeayVLh5bi,1400
2022-12-07,7AAwPphvrOazvCjCPxJE,2100
2022-12-15,f3iZsWYrZRVNSJ5TRe0I,2200
2022-12-14,4hxHBwKy0BFDwTjrDeU3,2000
2022-12-08,vky7ryulrZK1vZcysxt8,1400
2022-12-09,QOLBzlfSmCYCxK7FAHy1,2100
2022-12-23,kx2Nco6hr0f9GCqS8oQ9,1000
2022-12-12,a3g15vjsxzHi3rnD050a,1500
2022-12-12,lGY76iQSwQJrmWLNReKt,800
2022-12-20,LmATfZXwBpRGYwP5EtZN,1400
2022-12-12,2XLyhxpl9StLBEi4OGpF,2100
2022-12-12,27LQju1ZItS8WF3m4Bzg,3300
2022-12-15,ZosMJgeYkSBJzym2HYn3,2200
2022-12-21,9crttyk8JN4RDrQAtUHl,2200
2022-12-21,L8a45KZIqShUkRwauce9,1500
2022-12-12,CHEhoqypaEdpaD1F1qwB,2200
2022-12-17,USdqCfqUcNBTiLsPssYl,1000
2022-12-13,l7Ljyjn1WT9N7VjbK3f2,4000
2022-12-22,Wt2QVOcRC4XZztIDAZSb,1500
2022-12-15,Xl2wyDTKUc6rlouH1pke,600
2022-12-12,nO8DPExnYVGqBynyJtpe,1200
2022-12-17,YKC2JefipSGL6tezXNdD,2100
2022-12-18,vg1ocBR232rviiJ84dUt,1500
2022-12-12,2vqB9w19jf3Lo0NGaSXE,3300
2022-12-13,cGGpWQFSC3CYcqofOYPI,3300
2022-12-15,SGRs6eaVwydesujdsGvb,1500
2022-12-14,0258qBmXq3XpZX9iUEcB,2100
2022-12-15,4YfotzTlOzDmUAgemqed,1000
2022-12-13,TDa2rbAYXXFk4l4ERPvO,3300
2022-12-20,EuxPFHncp2i8Mdn0pilP,3300
2022-12-12,m2F4KPizAOgLDsLByGzA,3300
2022-12-15,i3iZKkpTT7voP8uSIaMc,300
2022-12-22,mTucSqlg2LJfeaXWmrXT,1000
2022-12-15,eN57r37cTSOkhjq8ltYr,600
2022-11-17,02FDevpAtsY1TWtKd3DC,800
2022-11-10,zBC4Yb3GkFvp7aS8nu24,1500
2022-11-15,FOrhpZ1AfjrpqUxbEleP,2100
2022-11-13,gQOUSW20Ri7RONAUcoBB,4000
2022-11-16,wNVk2roxHmnoXj8Y9E1g,800
2022-11-15,EMPq8C5RmtyI2bldjpsZ,2200
2022-11-22,XfKRCZ8QYfrAMlkd0gOk,800
2022-11-14,z0czFcxPFmc9duX3j4Ab,1500
2022-11-14,hC2GNE5btlMOimtT6rZN,1500
2022-11-15,MIUEIVtSlpc53R8qHhLq,3300
2022-11-15,STbR3WxG649tBw8wbLxA,2200
2022-11-13,Pm7QiWxS5qdH2AOyc7vO,2100
2022-11-13,B67kFrmattCwlPI9nBZO,4000
2022-11-10,TB3iSCHOspPyGCFdmMDc,1500
2022-11-14,HrWtOVqDlJ7ooFaWQgv7,1400
2022-11-15,O0SXRXQmZj5UDhx9sCnm,1500
2022-11-17,pXChMJO8M4iag4lEsrgV,800
2022-11-14,S4HmJg1Xd4DhBu0NoUVG,800
2022-11-16,zme4OUqDhjInd9h5PWWO,800
2022-11-17,tQTPa8vwbJZ3qaWsqxrg,800
2022-11-19,b34jBbLhLITqnYIiE548,800
2022-11-18,rLybP26fRoKtux5OT1kn,800
2022-11-10,qeVtGsffGnV4zbhtzBi6,1500
2022-11-17,raFdzyg7j9k0mmFMv5Fw,800
2022-11-15,e9uV5U75uNxRsnLtoWUj,1400
2022-11-13,UJj3IHQzyJgciKwUb2Lm,1500
2022-11-10,EDHy1XE2DLbc2q0bS0VF,1500
2022-11-15,cRpNMEh9BSLhg8mSv966,800
